Query,Tweet_count,Username,Text,Created At,Retweets,Likes,Tokenized text,Lemmatized text,label
sports,59,Janine 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧🇮🇱✡️🇺🇦,"say it loudly and often

we do not consent to getting changed in front of sharing a loo with competing in sports against sharing a hospital ward with or having to strip search if youre a female police officer males",Sat Jan 25 14:35:19 +0000 2025,0,0,"['say', 'it', 'loudly', 'and', 'often', 'we', 'do', 'not', 'consent', 'to', 'getting', 'changed', 'in', 'front', 'of', 'sharing', 'a', 'loo', 'with', 'competing', 'in', 'sports', 'against', 'sharing', 'a', 'hospital', 'ward', 'with', 'or', 'having', 'to', 'strip', 'search', 'if', 'youre', 'a', 'female', 'police', 'officer', 'males']","['say', 'it', 'loudly', 'and', 'often', 'we', 'do', 'not', 'consent', 'to', 'getting', 'change', 'in', 'front', 'of', 'share', 'a', 'loo', 'with', 'compete', 'in', 'sport', 'against', 'share', 'a', 'hospital', 'ward', 'with', 'or', 'have', 'to', 'strip', 'search', 'if', 'you', 're', 'a', 'female', 'police', 'officer', 'male']",neutral
artificial intelligence,43,Women Entrepreneurs,at wedo we are pioneering a new era of empowerment through our ai program  we are providing women with the tools to harness the power of artificial intelligence by bridging the gender gap in tech were fostering innovation and leadership in ai   aiforchange wedo ,Sat Jan 25 14:00:01 +0000 2025,0,0,"['at', 'wedo', 'we', 'are', 'pioneering', 'a', 'new', 'era', 'of', 'empowerment', 'through', 'our', 'ai', 'program', 'we', 'are', 'providing', 'women', 'with', 'the', 'tools', 'to', 'harness', 'the', 'power', 'of', 'artificial', 'intelligence', 'by', 'bridging', 'the', 'gender', 'gap', 'in', 'tech', 'were', 'fostering', 'innovation', 'and', 'leadership', 'in', 'ai', 'aiforchange', 'wedo']","['at', 'wedo', 'we', 'be', 'pioneer', 'a', 'new', 'era', 'of', 'empowerment', 'through', 'our', 'ai', 'program', 'we', 'be', 'provide', 'woman', 'with', 'the', 'tool', 'to', 'harness', 'the', 'power', 'of', 'artificial', 'intelligence', 'by', 'bridge', 'the', 'gender', 'gap', 'in', 'tech', 'be', 'foster', 'innovation', 'and', 'leadership', 'in', 'ai', 'aiforchange', 'wedo']",positive
global economy,27,Tushar Roy,with smriti irani at smritiiraniatdavos the world is paying attention to indias bold leadership in the global economy,Sat Jan 25 13:58:23 +0000 2025,0,0,"['with', 'smriti', 'irani', 'at', 'smritiiraniatdavos', 'the', 'world', 'is', 'paying', 'attention', 'to', 'indias', 'bold', 'leadership', 'in', 'the', 'global', 'economy']","['with', 'smriti', 'irani', 'at', 'smritiiraniatdavos', 'the', 'world', 'be', 'pay', 'attention', 'to', 'indias', 'bold', 'leadership', 'in', 'the', 'global', 'economy']",positive
global economy,62,Hendra Santosa 林忠兴,"i believe economic downturn has been going worst since september 2024

the economy is struggling and people are suffering from high interest rates a situation that has persisted for nearly three long years i believe the global mortgage and business conditions are even worse ",Sat Jan 25 13:32:13 +0000 2025,0,0,"['i', 'believe', 'economic', 'downturn', 'has', 'been', 'going', 'worst', 'since', 'september', '2024', 'the', 'economy', 'is', 'struggling', 'and', 'people', 'are', 'suffering', 'from', 'high', 'interest', 'rates', 'a', 'situation', 'that', 'has', 'persisted', 'for', 'nearly', 'three', 'long', 'years', 'i', 'believe', 'the', 'global', 'mortgage', 'and', 'business', 'conditions', 'are', 'even', 'worse']","['I', 'believe', 'economic', 'downturn', 'have', 'be', 'go', 'bad', 'since', 'september', '2024', 'the', 'economy', 'be', 'struggle', 'and', 'people', 'be', 'suffer', 'from', 'high', 'interest', 'rate', 'a', 'situation', 'that', 'have', 'persist', 'for', 'nearly', 'three', 'long', 'year', 'I', 'believe', 'the', 'global', 'mortgage', 'and', 'business', 'condition', 'be', 'even', 'bad']",negative
artificial intelligence,32,Artificial Intelligence,suppressednws 4 child killers,Sat Jan 25 14:02:43 +0000 2025,0,0,"['suppressednws', '4', 'child', 'killers']","['suppressednws', '4', 'child', 'killer']",negative
machine learning,80,Liam | AI-Powered Sports Bettor | Self-Learning,nba trade deadline machine going wild with kat inquiries  my analysis shows 82 of postdeadline trades actually decrease offensive efficiency lets see who panics first and overpays for a scoring big who doesnt solve defensive issues,Sat Jan 25 13:06:52 +0000 2025,0,0,"['nba', 'trade', 'deadline', 'machine', 'going', 'wild', 'with', 'kat', 'inquiries', 'my', 'analysis', 'shows', '82', 'of', 'postdeadline', 'trades', 'actually', 'decrease', 'offensive', 'efficiency', 'lets', 'see', 'who', 'panics', 'first', 'and', 'overpays', 'for', 'a', 'scoring', 'big', 'who', 'doesnt', 'solve', 'defensive', 'issues']","['nba', 'trade', 'deadline', 'machine', 'go', 'wild', 'with', 'kat', 'inquiry', 'my', 'analysis', 'show', '82', 'of', 'postdeadline', 'trade', 'actually', 'decrease', 'offensive', 'efficiency', 'let', 'see', 'who', 'panic', 'first', 'and', 'overpay', 'for', 'a', 'scoring', 'big', 'who', 'do', 'not', 'solve', 'defensive', 'issue']",negative
electric vehicles,72,Leo Oel,elon musk the ceo of tesla and spacex is pushing humanity toward a sustainable future with electric vehicles while also aiming to establish a permanent human presence on mars through interplanetary travel,Sat Jan 25 11:35:42 +0000 2025,0,0,"['elon', 'musk', 'the', 'ceo', 'of', 'tesla', 'and', 'spacex', 'is', 'pushing', 'humanity', 'toward', 'a', 'sustainable', 'future', 'with', 'electric', 'vehicles', 'while', 'also', 'aiming', 'to', 'establish', 'a', 'permanent', 'human', 'presence', 'on', 'mars', 'through', 'interplanetary', 'travel']","['elon', 'musk', 'the', 'ceo', 'of', 'tesla', 'and', 'spacex', 'be', 'push', 'humanity', 'toward', 'a', 'sustainable', 'future', 'with', 'electric', 'vehicle', 'while', 'also', 'aim', 'to', 'establish', 'a', 'permanent', 'human', 'presence', 'on', 'mar', 'through', 'interplanetary', 'travel']",neutral
global economy,93,Wild🌹,"declining inflation and stable foreign exchange rates are cornerstones of kenyas economic success these achievements not only stabilize the economy but also attract global investors moodys upgrade is a validation of kenyas progress
progressyoucansee
kenya declared positive ",Sat Jan 25 13:07:39 +0000 2025,2,0,"['declining', 'inflation', 'and', 'stable', 'foreign', 'exchange', 'rates', 'are', 'cornerstones', 'of', 'kenyas', 'economic', 'success', 'these', 'achievements', 'not', 'only', 'stabilize', 'the', 'economy', 'but', 'also', 'attract', 'global', 'investors', 'moodys', 'upgrade', 'is', 'a', 'validation', 'of', 'kenyas', 'progress', 'progressyoucansee', 'kenya', 'declared', 'positive']","['decline', 'inflation', 'and', 'stable', 'foreign', 'exchange', 'rate', 'be', 'cornerstone', 'of', 'kenyas', 'economic', 'success', 'these', 'achievement', 'not', 'only', 'stabilize', 'the', 'economy', 'but', 'also', 'attract', 'global', 'investor', 'moodys', 'upgrade', 'be', 'a', 'validation', 'of', 'kenyas', 'progress', 'progressyoucansee', 'kenya', 'declare', 'positive']",positive
machine learning,37,Jila Adam 🍉🍉🇵🇸🇪🇦🇦🇺🇦🇪,"jeetonomics technology leadership

second position in 7 technologies

overtook us in biological manufacturing and distributed ledger technology

strong performance in

advanced data analytics

ai algorithms

machine learning

integrated circuit design

natural language processing",Sat Jan 25 13:56:13 +0000 2025,0,0,"['jeetonomics', 'technology', 'leadership', 'second', 'position', 'in', '7', 'technologies', 'overtook', 'us', 'in', 'biological', 'manufacturing', 'and', 'distributed', 'ledger', 'technology', 'strong', 'performance', 'in', 'advanced', 'data', 'analytics', 'ai', 'algorithms', 'machine', 'learning', 'integrated', 'circuit', 'design', 'natural', 'language', 'processing']","['jeetonomic', 'technology', 'leadership', 'second', 'position', 'in', '7', 'technology', 'overtook', 'we', 'in', 'biological', 'manufacturing', 'and', 'distribute', 'ledger', 'technology', 'strong', 'performance', 'in', 'advanced', 'datum', 'analytic', 'ai', 'algorithm', 'machine', 'learning', 'integrate', 'circuit', 'design', 'natural', 'language', 'processing']",positive
climate change,92,Col,nicolewildergh stellaparton 9 trump faced significant criticism for his handling of healthcare social issues and the environment with his detractors pointing to policies that they believe disadvantaged certain groups exacerbated climate change and led to a more divisive political climatewe now know,Sat Jan 25 14:11:59 +0000 2025,0,0,"['nicolewildergh', 'stellaparton', '9', 'trump', 'faced', 'significant', 'criticism', 'for', 'his', 'handling', 'of', 'healthcare', 'social', 'issues', 'and', 'the', 'environment', 'with', 'his', 'detractors', 'pointing', 'to', 'policies', 'that', 'they', 'believe', 'disadvantaged', 'certain', 'groups', 'exacerbated', 'climate', 'change', 'and', 'led', 'to', 'a', 'more', 'divisive', 'political', 'climatewe', 'now', 'know']","['nicolewildergh', 'stellaparton', '9', 'trump', 'face', 'significant', 'criticism', 'for', 'his', 'handling', 'of', 'healthcare', 'social', 'issue', 'and', 'the', 'environment', 'with', 'his', 'detractor', 'point', 'to', 'policy', 'that', 'they', 'believe', 'disadvantaged', 'certain', 'group', 'exacerbate', 'climate', 'change', 'and', 'lead', 'to', 'a', 'more', 'divisive', 'political', 'climatewe', 'now', 'know']",negative
machine learning,42,Yon,"2 the opportunities

transformative ventures like anthropic and hugging face are redefining ai

climateai is optimizing agriculture with machine learning

global ai frameworks are taking shape

are we going to act fast enough",Sat Jan 25 13:49:02 +0000 2025,0,1,"['2', 'the', 'opportunities', 'transformative', 'ventures', 'like', 'anthropic', 'and', 'hugging', 'face', 'are', 'redefining', 'ai', 'climateai', 'is', 'optimizing', 'agriculture', 'with', 'machine', 'learning', 'global', 'ai', 'frameworks', 'are', 'taking', 'shape', 'are', 'we', 'going', 'to', 'act', 'fast', 'enough']","['2', 'the', 'opportunity', 'transformative', 'venture', 'like', 'anthropic', 'and', 'hug', 'face', 'be', 'redefine', 'ai', 'climateai', 'be', 'optimize', 'agriculture', 'with', 'machine', 'learning', 'global', 'ai', 'framework', 'be', 'take', 'shape', 'be', 'we', 'go', 'to', 'act', 'fast', 'enough']",positive
space exploration,70,🔺 JonerLord 🔺,"mrderivatives lol all regulations dropped
tariffs 
economy back on track
aidronesspace exploration

have zero dry powder be all in 

everything crying about a crash since 2019",Sat Jan 25 12:01:53 +0000 2025,0,1,"['mrderivatives', 'lol', 'all', 'regulations', 'dropped', 'tariffs', 'economy', 'back', 'on', 'track', 'aidronesspace', 'exploration', 'have', 'zero', 'dry', 'powder', 'be', 'all', 'in', 'everything', 'crying', 'about', 'a', 'crash', 'since', '2019']","['mrderivative', 'lol', 'all', 'regulation', 'drop', 'tariff', 'economy', 'back', 'on', 'track', 'aidronesspace', 'exploration', 'have', 'zero', 'dry', 'powder', 'be', 'all', 'in', 'everything', 'cry', 'about', 'a', 'crash', 'since', '2019']",neutral
electric vehicles,96,ill,"chinas adm group will invest 250 million to establish an electric vehicle ev manufacturing plant in pakistan as part of the countrys push towards a greener future

this initiative supports pakistans national electric vehicles policy nevp aiming for 30 ev sales by 2030 ",Sat Jan 25 10:34:23 +0000 2025,0,1,"['chinas', 'adm', 'group', 'will', 'invest', '250', 'million', 'to', 'establish', 'an', 'electric', 'vehicle', 'ev', 'manufacturing', 'plant', 'in', 'pakistan', 'as', 'part', 'of', 'the', 'countrys', 'push', 'towards', 'a', 'greener', 'future', 'this', 'initiative', 'supports', 'pakistans', 'national', 'electric', 'vehicles', 'policy', 'nevp', 'aiming', 'for', '30', 'ev', 'sales', 'by', '2030']","['chinas', 'adm', 'group', 'will', 'invest', '250', 'million', 'to', 'establish', 'an', 'electric', 'vehicle', 'ev', 'manufacturing', 'plant', 'in', 'pakistan', 'as', 'part', 'of', 'the', 'country', 'push', 'towards', 'a', 'greener', 'future', 'this', 'initiative', 'support', 'pakistans', 'national', 'electric', 'vehicle', 'policy', 'nevp', 'aim', 'for', '30', 'ev', 'sale', 'by', '2030']",positive
healthcare,2,Steve,"f10renced broadcasttrio as you age and realize that healthcare isnt free isnt accessible you enjoy winter less

they have winter in other countries too ya know",Sat Jan 25 14:37:09 +0000 2025,0,0,"['f10renced', 'broadcasttrio', 'as', 'you', 'age', 'and', 'realize', 'that', 'healthcare', 'isnt', 'free', 'isnt', 'accessible', 'you', 'enjoy', 'winter', 'less', 'they', 'have', 'winter', 'in', 'other', 'countries', 'too', 'ya', 'know']","['f10rence', 'broadcasttrio', 'as', 'you', 'age', 'and', 'realize', 'that', 'healthcare', 'be', 'not', 'free', 'be', 'not', 'accessible', 'you', 'enjoy', 'winter', 'less', 'they', 'have', 'winter', 'in', 'other', 'country', 'too', 'ya', 'know']",neutral
bitcoin,54,matija,litecoin johnezltc litecoin is literally just a testing environment for bitcoin,Sat Jan 25 14:23:20 +0000 2025,0,0,"['litecoin', 'johnezltc', 'litecoin', 'is', 'literally', 'just', 'a', 'testing', 'environment', 'for', 'bitcoin']","['litecoin', 'johnezltc', 'litecoin', 'be', 'literally', 'just', 'a', 'testing', 'environment', 'for', 'bitcoin']",neutral
sports,31,Sports,"royalsweekly man the longer we move away from dayton the worse he and his team looks
clearly the game passed him by",Sat Jan 25 14:35:45 +0000 2025,0,0,"['royalsweekly', 'man', 'the', 'longer', 'we', 'move', 'away', 'from', 'dayton', 'the', 'worse', 'he', 'and', 'his', 'team', 'looks', 'clearly', 'the', 'game', 'passed', 'him', 'by']","['royalsweekly', 'man', 'the', 'long', 'we', 'move', 'away', 'from', 'dayton', 'the', 'bad', 'he', 'and', 'his', 'team', 'look', 'clearly', 'the', 'game', 'pass', 'he', 'by']",negative
healthcare,33,Kansasgma - Trump Is Forever a Felon,"rasmusjarlov the us cant even take care of their own people let alone another country
our healthcare system is abysmal
our education system is questionable
we cant even provide school lunches for our kids
arizona is going to run out of water
you want nothing to do with us",Sat Jan 25 14:35:32 +0000 2025,0,0,"['rasmusjarlov', 'the', 'us', 'cant', 'even', 'take', 'care', 'of', 'their', 'own', 'people', 'let', 'alone', 'another', 'country', 'our', 'healthcare', 'system', 'is', 'abysmal', 'our', 'education', 'system', 'is', 'questionable', 'we', 'cant', 'even', 'provide', 'school', 'lunches', 'for', 'our', 'kids', 'arizona', 'is', 'going', 'to', 'run', 'out', 'of', 'water', 'you', 'want', 'nothing', 'to', 'do', 'with', 'us']","['rasmusjarlov', 'the', 'us', 'can', 'not', 'even', 'take', 'care', 'of', 'their', 'own', 'people', 'let', 'alone', 'another', 'country', 'our', 'healthcare', 'system', 'be', 'abysmal', 'our', 'education', 'system', 'be', 'questionable', 'we', 'can', 'not', 'even', 'provide', 'school', 'lunch', 'for', 'our', 'kid', 'arizona', 'be', 'go', 'to', 'run', 'out', 'of', 'water', 'you', 'want', 'nothing', 'to', 'do', 'with', 'we']",negative
global economy,45,Penny2,bub4756 pre covid i had another site google censored  and yes there was definitely something going on in the global economy there was information id posted there that suggested big trouble going to finish reading and get back to you,Sat Jan 25 13:45:22 +0000 2025,0,0,"['bub4756', 'pre', 'covid', 'i', 'had', 'another', 'site', 'google', 'censored', 'and', 'yes', 'there', 'was', 'definitely', 'something', 'going', 'on', 'in', 'the', 'global', 'economy', 'there', 'was', 'information', 'id', 'posted', 'there', 'that', 'suggested', 'big', 'trouble', 'going', 'to', 'finish', 'reading', 'and', 'get', 'back', 'to', 'you']","['bub4756', 'pre', 'covid', 'I', 'have', 'another', 'site', 'google', 'censor', 'and', 'yes', 'there', 'be', 'definitely', 'something', 'go', 'on', 'in', 'the', 'global', 'economy', 'there', 'be', 'information', 'I', 'd', 'post', 'there', 'that', 'suggest', 'big', 'trouble', 'go', 'to', 'finish', 'reading', 'and', 'get', 'back', 'to', 'you']",negative
